1-1986	-6.63 
1-1987	-4.88 
1-1988	-4.93 
1-1989	-4.11 
1-1990	-4.52 
1-1991	-4.39 
1-1992	-3.86 
1-1993	-4.42 
1-1994	-4.14 
1-1995	-5.73 
1-1996	-4.55 
1-1997	-5.73 
1-1998	-3.99 
1-1999	-4.49 
1-2000	-4.65 
1-2001	-4.23 
1-2002	-5.31 
1-2003	-4.41 
1-2004	-5.65 
1-2005	-4.85 
1-2040	-2.45 
1-2041	-3.09 
1-2042	-2.62 
1-2043	-3.97 
1-2044	-0.36 
1-2045	-3.44 
1-2046	-2.33 
1-2047	-3.69 
1-2048	-3.84 
1-2049	-1.75 
1-2050	-1.14 
1-2051	-2.04 
1-2052	-1.35 
1-2053	-2.33 
1-2054	-1.44 
1-2055	-1.67 
1-2056	-2.43 
1-2057	-3.45 
1-2058	-0.78 
1-2059	-0.47 
1-2060	-1.64 
1-2061	-0.24 
1-2062	-3.85 
1-2063	-0.74 
1-2064	-1.72 
1-2065	-0.47 
1-2066	0.18 
1-2067	-2.92 
1-2068	0.24 
1-2069	-0.67 
2-1986	-3.61 
2-1987	-3.46 
2-1988	-3.35 
2-1989	-5.03 
2-1990	-3.01 
2-1991	-2.03 
2-1992	-4.40 
2-1993	-2.79 
2-1994	-3.76 
2-1995	-1.37 
2-1996	-5.53 
2-1997	-3.14 
2-1998	-3.52 
2-1999	-3.91 
2-2000	-0.29 
2-2001	-2.17 
2-2002	-2.47 
2-2003	-2.99 
2-2004	-1.90 
2-2005	-5.34 
2-2040	-1.55 
2-2041	-1.33 
2-2042	-1.55 
2-2043	-0.39 
2-2044	-0.21 
2-2045	-1.38 
2-2046	-2.94 
2-2047	-1.54 
2-2048	-2.37 
2-2049	-1.87 
2-2050	-2.05 
2-2051	-1.53 
2-2052	0.02 
2-2053	-1.47 
2-2054	0.38 
2-2055	-1.58 
2-2056	-0.59 
2-2057	-1.16 
2-2058	-1.61 
2-2059	0.53 
2-2060	-0.83 
2-2061	0.60 
2-2062	-1.97 
2-2063	-1.24 
2-2064	-1.22 
2-2065	1.82 
2-2066	1.30 
2-2067	-2.94 
2-2068	0.48 
2-2069	0.23 
3-1986	1.05 
3-1987	1.47 
3-1988	1.75 
3-1989	1.42 
3-1990	0.82 
3-1991	1.69 
3-1992	0.50 
3-1993	0.72 
3-1994	2.09 
3-1995	2.93 
3-1996	1.61 
3-1997	2.22 
3-1998	2.33 
3-1999	2.05 
3-2000	3.13 
3-2001	2.77 
3-2002	2.53 
3-2003	-0.24 
3-2004	2.06 
3-2005	0.98 
3-2040	1.71 
3-2041	3.88 
3-2042	1.56 
3-2043	3.60 
3-2044	3.93 
3-2045	1.42 
3-2046	3.79 
3-2047	4.30 
3-2048	3.57 
3-2049	2.52 
3-2050	1.48 
3-2051	1.83 
3-2052	3.03 
3-2053	4.76 
3-2054	5.00 
3-2055	3.34 
3-2056	4.21 
3-2057	4.27 
3-2058	4.65 
3-2059	3.25 
3-2060	3.64 
3-2061	3.19 
3-2062	2.67 
3-2063	3.24 
3-2064	4.46 
3-2065	5.03 
3-2066	4.46 
3-2067	2.96 
3-2068	3.76 
3-2069	4.15 
4-1986	7.35 
4-1987	8.44 
4-1988	9.56 
4-1989	7.18 
4-1990	6.69 
4-1991	8.19 
4-1992	6.86 
4-1993	8.83 
4-1994	8.34 
4-1995	8.50 
4-1996	7.58 
4-1997	8.48 
4-1998	9.02 
4-1999	7.15 
4-2000	7.24 
4-2001	6.82 
4-2002	6.60 
4-2003	7.85 
4-2004	8.22 
4-2005	6.48 
4-2040	8.33 
4-2041	10.78 
4-2042	7.47 
4-2043	9.81 
4-2044	9.08 
4-2045	8.83 
4-2046	9.81 
4-2047	9.00 
4-2048	8.00 
4-2049	8.49 
4-2050	8.32 
4-2051	9.48 
4-2052	8.70 
4-2053	9.52 
4-2054	10.01 
4-2055	9.88 
4-2056	10.10 
4-2057	10.88 
4-2058	9.06 
4-2059	10.66 
4-2060	9.05 
4-2061	10.16 
4-2062	8.30 
4-2063	10.73 
4-2064	10.74 
