1-1986,2.23 
1-1987,2.30 
1-1988,2.89 
1-1989,2.84 
1-1990,2.03 
1-1991,2.73 
1-1992,2.25 
1-1993,2.69 
1-1994,1.45 
1-1995,2.55 
1-1996,2.30 
1-1997,3.77 
1-1998,2.98 
1-1999,1.82 
1-2000,3.21 
1-2001,2.96 
1-2002,3.41 
1-2003,2.78 
1-2004,3.00 
1-2005,2.75 
1-2040,2.86 
1-2041,4.40 
1-2042,2.31 
1-2043,2.82 
1-2044,4.44 
1-2045,2.05 
1-2046,2.47 
1-2047,2.17 
1-2048,2.62 
1-2049,2.20 
1-2050,4.55 
1-2051,2.78 
1-2052,2.59 
1-2053,2.82 
1-2054,2.78 
1-2055,2.79 
1-2056,2.78 
1-2057,2.00 
1-2058,3.64 
1-2059,2.36 
1-2060,1.97 
1-2061,3.51 
1-2062,3.41 
1-2063,3.34 
1-2064,2.96 
1-2065,2.52 
1-2066,2.96 
1-2067,3.43 
1-2068,4.11 
1-2069,3.31 
2-1986,2.16 
2-1987,2.85 
2-1988,3.56 
2-1989,2.84 
2-1990,1.79 
2-1991,2.37 
2-1992,2.64 
2-1993,1.96 
2-1994,1.74 
2-1995,3.51 
2-1996,1.66 
2-1997,1.70 
2-1998,1.69 
2-1999,2.16 
2-2000,2.15 
2-2001,2.40 
2-2002,2.20 
2-2003,2.15 
2-2004,2.01 
2-2005,2.01 
2-2040,2.60 
2-2041,2.76 
2-2042,3.02 
2-2043,3.40 
2-2044,2.41 
2-2045,3.38 
2-2046,2.04 
2-2047,2.72 
2-2048,1.73 
2-2049,2.56 
2-2050,2.50 
2-2051,2.98 
2-2052,3.17 
2-2053,2.53 
2-2054,3.31 
2-2055,2.88 
2-2056,1.90 
2-2057,3.63 
2-2058,2.21 
2-2059,2.77 
2-2060,2.65 
2-2061,4.49 
2-2062,3.74 
2-2063,3.77 
2-2064,1.56 
2-2065,3.07 
2-2066,3.03 
2-2067,2.50 
2-2068,3.52 
2-2069,3.47 
3-1986,3.05 
3-1987,3.75 
3-1988,4.28 
3-1989,3.02 
3-1990,2.59 
3-1991,3.95 
3-1992,2.91 
3-1993,2.54 
3-1994,2.89 
3-1995,2.53 
3-1996,2.72 
3-1997,2.40 
3-1998,2.68 
3-1999,2.89 
3-2000,2.80 
3-2001,3.93 
3-2002,2.50 
3-2003,3.36 
3-2004,3.63 
3-2005,3.70 
3-2040,2.72 
3-2041,3.13 
3-2042,4.47 
3-2043,3.60 
3-2044,2.78 
3-2045,3.24 
3-2046,3.12 
3-2047,4.50 
3-2048,3.82 
3-2049,2.65 
3-2050,3.81 
3-2051,3.92 
3-2052,5.56 
3-2053,4.09 
3-2054,3.58 
3-2055,3.36 
3-2056,3.36 
3-2057,4.43 
3-2058,3.81 
3-2059,4.05 
3-2060,4.72 
3-2061,4.52 
3-2062,3.69 
3-2063,4.11 
3-2064,4.42 
3-2065,3.19 
3-2066,2.64 
3-2067,3.19 
3-2068,3.23 
3-2069,2.75 
4-1986,2.70 
4-1987,2.16 
4-1988,2.36 
4-1989,2.47 
4-1990,3.69 
4-1991,2.57 
4-1992,2.82 
4-1993,3.35 
4-1994,3.15 
4-1995,3.26 
4-1996,3.54 
4-1997,2.38 
4-1998,3.22 
4-1999,2.76 
4-2000,3.32 
4-2001,2.51 
4-2002,2.95 
4-2003,2.02 
4-2004,3.14 
4-2005,3.29 
4-2040,3.71 
4-2041,3.77 
4-2042,3.74 
4-2043,3.14 
4-2044,2.82 
4-2045,4.78 
4-2046,3.35 
4-2047,3.47 
4-2048,3.72 
4-2049,3.23 
4-2050,4.18 
4-2051,2.95 
4-2052,4.37 
4-2053,3.58 
4-2054,3.67 
4-2055,4.55 
4-2056,2.82 
4-2057,2.90 
4-2058,4.31 
4-2059,2.38 
4-2060,4.16 
4-2061,3.48 
4-2062,5.29 
4-2063,3.48 
4-2064,3.35 
4-2065,3.00 
4-2066,4.55 
4-2067,3.32 
4-2068,3.05 
4-2069,4.23 
5-1986,2.94 
5-1987,4.45 
5-1988,3.48 
5-1989,3.98 
5-1990,3.48 
5-1991,3.50 
5-1992,3.74 
5-1993,3.55 
5-1994,4.52 
5-1995,2.56 
5-1996,4.31 
5-1997,4.39 
5-1998,3.01 
5-1999,3.00 
5-2000,2.93 
5-2001,3.33 
5-2002,2.47 
5-2003,3.42 
5-2004,2.11 
5-2005,3.54 
5-2040,4.12 
5-2041,4.07 
5-2042,3.59 
5-2043,3.64 
5-2044,3.88 
5-2045,4.02 
5-2046,3.50 
5-2047,3.95 
5-2048,4.28 
5-2049,3.53 
5-2050,2.43 
5-2051,3.30 
5-2052,3.20 
5-2053,2.88 
5-2054,3.90 
5-2055,3.47 
5-2056,4.05 
5-2057,2.31 
5-2058,3.11 
5-2059,2.96 
5-2060,2.91 
5-2061,3.53 
5-2062,2.51 
5-2063,4.60 
5-2064,3.71 
5-2065,3.66 
5-2066,4.23 
5-2067,3.82 
5-2068,4.15 
5-2069,3.61 
6-1986,3.96 
6-1987,3.80 
6-1988,4.83 
6-1989,3.13 
6-1990,5.61 
6-1991,3.13 
6-1992,2.83 
6-1993,3.11 
6-1994,3.30 
6-1995,4.06 
6-1996,2.88 
6-1997,2.63 
6-1998,3.59 
6-1999,5.03 
6-2000,4.88 
6-2001,5.78 
6-2002,3.25 
6-2003,4.90 
6-2004,3.73 
6-2005,3.89 
6-2040,3.27 
6-2041,5.10 
6-2042,3.89 
6-2043,4.39 
6-2044,4.02 
6-2045,3.38 
6-2046,4.38 
6-2047,4.14 
6-2048,4.75 
6-2049,4.19 
6-2050,3.89 
6-2051,4.77 
6-2052,2.63 
6-2053,3.64 
6-2054,3.41 
6-2055,5.53 
6-2056,3.12 
6-2057,3.70 
6-2058,4.92 
6-2059,2.99 
6-2060,3.83 
6-2061,3.38 
6-2062,2.84 
6-2063,4.11 
6-2064,4.35 
6-2065,2.68 
6-2066,3.73 
