Daily Mean Air Temperature ,,,
Date,Value,Time Period,Climate Model
01-12-1985,5.59,1986-2005,CanESM2
02-12-1985,12.27,1986-2005,CanESM2
03-12-1985,13.29,1986-2005,CanESM2
04-12-1985,14.7,1986-2005,CanESM2
05-12-1985,4.21,1986-2005,CanESM2
06-12-1985,4.19,1986-2005,CanESM2
07-12-1985,7.42,1986-2005,CanESM2
08-12-1985,2.01,1986-2005,CanESM2
09-12-1985,0.98,1986-2005,CanESM2
10-12-1985,-1.85,1986-2005,CanESM2
11-12-1985,1.25,1986-2005,CanESM2
12-12-1985,0.54,1986-2005,CanESM2
13-12-1985,0.64,1986-2005,CanESM2
14-12-1985,2.62,1986-2005,CanESM2
15-12-1985,3.75,1986-2005,CanESM2
16-12-1985,7.83,1986-2005,CanESM2
17-12-1985,5.8,1986-2005,CanESM2
18-12-1985,-2.39,1986-2005,CanESM2
19-12-1985,-1.52,1986-2005,CanESM2
20-12-1985,-0.12,1986-2005,CanESM2
21-12-1985,0.32,1986-2005,CanESM2
22-12-1985,0.72,1986-2005,CanESM2
23-12-1985,8.18,1986-2005,CanESM2
24-12-1985,4.13,1986-2005,CanESM2
25-12-1985,0.38,1986-2005,CanESM2
26-12-1985,0.94,1986-2005,CanESM2
27-12-1985,3.47,1986-2005,CanESM2
28-12-1985,6.92,1986-2005,CanESM2
29-12-1985,2.81,1986-2005,CanESM2
30-12-1985,-0.99,1986-2005,CanESM2
31-12-1985,0.02,1986-2005,CanESM2
01-01-1986,-1.63,1986-2005,CanESM2
02-01-1986,4.04,1986-2005,CanESM2
03-01-1986,-2.5,1986-2005,CanESM2
04-01-1986,-3.71,1986-2005,CanESM2
05-01-1986,-6.45,1986-2005,CanESM2
06-01-1986,-7.56,1986-2005,CanESM2
07-01-1986,-8.94,1986-2005,CanESM2
08-01-1986,-8.83,1986-2005,CanESM2
09-01-1986,-6.72,1986-2005,CanESM2
10-01-1986,-5.33,1986-2005,CanESM2
11-01-1986,-6.95,1986-2005,CanESM2
12-01-1986,-6.95,1986-2005,CanESM2
13-01-1986,-5.86,1986-2005,CanESM2
14-01-1986,-6.24,1986-2005,CanESM2
15-01-1986,-3.76,1986-2005,CanESM2
16-01-1986,-1.29,1986-2005,CanESM2
17-01-1986,-10.18,1986-2005,CanESM2
18-01-1986,-13.15,1986-2005,CanESM2
19-01-1986,-12.6,1986-2005,CanESM2
20-01-1986,-5.84,1986-2005,CanESM2
21-01-1986,-0.36,1986-2005,CanESM2
22-01-1986,-2.09,1986-2005,CanESM2
23-01-1986,-4.11,1986-2005,CanESM2
24-01-1986,-11.21,1986-2005,CanESM2
25-01-1986,-10.05,1986-2005,CanESM2
26-01-1986,-11.41,1986-2005,CanESM2
27-01-1986,-17.35,1986-2005,CanESM2
28-01-1986,-12.63,1986-2005,CanESM2
29-01-1986,-10.01,1986-2005,CanESM2
30-01-1986,-8.93,1986-2005,CanESM2
31-01-1986,-5.91,1986-2005,CanESM2
01-02-1986,-0.84,1986-2005,CanESM2
02-02-1986,2.12,1986-2005,CanESM2
03-02-1986,-5.53,1986-2005,CanESM2
04-02-1986,4.32,1986-2005,CanESM2
05-02-1986,6.9,1986-2005,CanESM2
06-02-1986,2.18,1986-2005,CanESM2
07-02-1986,-0.46,1986-2005,CanESM2
08-02-1986,0.09,1986-2005,CanESM2
09-02-1986,-9.6,1986-2005,CanESM2
10-02-1986,1.09,1986-2005,CanESM2
11-02-1986,5.67,1986-2005,CanESM2
12-02-1986,4.56,1986-2005,CanESM2
13-02-1986,8.09,1986-2005,CanESM2
14-02-1986,7.86,1986-2005,CanESM2
15-02-1986,3.27,1986-2005,CanESM2
16-02-1986,6.78,1986-2005,CanESM2
17-02-1986,8.38,1986-2005,CanESM2
18-02-1986,3.94,1986-2005,CanESM2
19-02-1986,2.08,1986-2005,CanESM2
20-02-1986,-0.2,1986-2005,CanESM2
21-02-1986,1.34,1986-2005,CanESM2
22-02-1986,4.51,1986-2005,CanESM2
23-02-1986,4.11,1986-2005,CanESM2
24-02-1986,0.59,1986-2005,CanESM2
25-02-1986,2.51,1986-2005,CanESM2
26-02-1986,6.58,1986-2005,CanESM2
27-02-1986,8.22,1986-2005,CanESM2
28-02-1986,11.22,1986-2005,CanESM2
01-03-1986,12.81,1986-2005,CanESM2
02-03-1986,10.53,1986-2005,CanESM2
03-03-1986,-0.02,1986-2005,CanESM2
04-03-1986,0.39,1986-2005,CanESM2
05-03-1986,11.33,1986-2005,CanESM2
06-03-1986,5.55,1986-2005,CanESM2
07-03-1986,2.69,1986-2005,CanESM2
