Daily Precipitation,,,
Date,Value,Time Period,Climate Model
01-12-1985,0.009,1986-2005,CanESM2
02-12-1985,1.399,1986-2005,CanESM2
03-12-1985,8.998,1986-2005,CanESM2
04-12-1985,9.853,1986-2005,CanESM2
05-12-1985,0.747,1986-2005,CanESM2
06-12-1985,0.023,1986-2005,CanESM2
07-12-1985,8.631,1986-2005,CanESM2
08-12-1985,1.625,1986-2005,CanESM2
09-12-1985,1.861,1986-2005,CanESM2
10-12-1985,0.001,1986-2005,CanESM2
11-12-1985,37.791,1986-2005,CanESM2
12-12-1985,7.006,1986-2005,CanESM2
13-12-1985,0.178,1986-2005,CanESM2
14-12-1985,0.003,1986-2005,CanESM2
15-12-1985,0.135,1986-2005,CanESM2
16-12-1985,34.553,1986-2005,CanESM2
17-12-1985,17.906,1986-2005,CanESM2
18-12-1985,0.633,1986-2005,CanESM2
19-12-1985,0.002,1986-2005,CanESM2
20-12-1985,0.015,1986-2005,CanESM2
21-12-1985,0,1986-2005,CanESM2
22-12-1985,0,1986-2005,CanESM2
23-12-1985,131.546,1986-2005,CanESM2
24-12-1985,0.607,1986-2005,CanESM2
25-12-1985,0,1986-2005,CanESM2
26-12-1985,0,1986-2005,CanESM2
27-12-1985,0.006,1986-2005,CanESM2
28-12-1985,20.762,1986-2005,CanESM2
29-12-1985,0.249,1986-2005,CanESM2
30-12-1985,0.282,1986-2005,CanESM2
31-12-1985,0.212,1986-2005,CanESM2
01-01-1986,0.762,1986-2005,CanESM2
02-01-1986,31.274,1986-2005,CanESM2
03-01-1986,0.406,1986-2005,CanESM2
04-01-1986,1.389,1986-2005,CanESM2
05-01-1986,0.531,1986-2005,CanESM2
06-01-1986,0.299,1986-2005,CanESM2
07-01-1986,0.726,1986-2005,CanESM2
08-01-1986,0.038,1986-2005,CanESM2
09-01-1986,0,1986-2005,CanESM2
10-01-1986,0.855,1986-2005,CanESM2
11-01-1986,0.722,1986-2005,CanESM2
12-01-1986,1.045,1986-2005,CanESM2
13-01-1986,0.41,1986-2005,CanESM2
14-01-1986,0.672,1986-2005,CanESM2
15-01-1986,0.489,1986-2005,CanESM2
16-01-1986,0.916,1986-2005,CanESM2
17-01-1986,9.158,1986-2005,CanESM2
18-01-1986,0.004,1986-2005,CanESM2
19-01-1986,0.013,1986-2005,CanESM2
20-01-1986,7.452,1986-2005,CanESM2
21-01-1986,0.404,1986-2005,CanESM2
22-01-1986,0,1986-2005,CanESM2
23-01-1986,7.062,1986-2005,CanESM2
24-01-1986,0.133,1986-2005,CanESM2
25-01-1986,0.863,1986-2005,CanESM2
26-01-1986,11.178,1986-2005,CanESM2
27-01-1986,0,1986-2005,CanESM2
28-01-1986,0,1986-2005,CanESM2
29-01-1986,0.018,1986-2005,CanESM2
30-01-1986,0.451,1986-2005,CanESM2
31-01-1986,2.571,1986-2005,CanESM2
01-02-1986,0.129,1986-2005,CanESM2
02-02-1986,0.901,1986-2005,CanESM2
03-02-1986,4.63,1986-2005,CanESM2
